Date,Open,High,Low,Close,Volume
2022-01-21,21.96,22.4,21.11,21.12,8034900
2022-01-24,21,21.07,20.37,20.56,8110600
2022-01-25,20,20.72,19.62,20.65,8621300
2022-01-26,20.42,20.47,19.71,20.1,8526800
2022-01-27,20.72,21.04,19.53,19.74,9838600
2022-01-28,20.18,20.34,19.2,20.28,12123300
2022-01-31,20.59,21.45,20.44,21.14,11020900
2022-02-01,21.29,21.41,20.37,21.25,7465200
2022-02-02,21.04,22.06,20.91,21.79,8735100
2022-02-03,22.3,22.38,21.58,22.15,8968000
2022-02-04,21.62,22.16,21.33,21.35,7482700
