Date,Open,High,Low,Clsoe,Volume
2022-01-21,17.39,17.63,17.12,17.16,17785400
2022-01-24,17.13,17.29,16.97,17.1,20471800
2022-01-25,16.84,17.08,16.41,17.05,24843800
2022-01-26,16.92,17.31,16.63,17.23,18664900
2022-01-27,17.43,17.92,17.07,17.25,25755700
2022-01-28,17.57,17.6,16.96,17.21,20238700
2022-01-31,17.2,17.26,16.86,17.2,17329900
2022-02-01,17.13,17.42,17,17.36,20557400
2022-02-02,17.27,17.52,17.21,17.41,17462200
2022-02-03,17.36,17.54,17.3,17.41,20179100
2022-02-04,17.46,17.46,17.15,17.27,14274000
