Date,Open,High,Low,Close,Volume
2022-01-21,72.38,72.38,70.26,71.38,35995200
2022-01-24,70.1,72.28,69.04,71.99,41507000
2022-01-25,71.79,74.42,70.61,74.11,39278400
2022-01-26,74.6,75.17,72.68,73.36,35252400
2022-01-27,74.63,75.18,73.18,74.3,29174700
2022-01-28,74.15,74.79,73.14,74.45,30595700
2022-01-31,74.15,75.58,73.46,75.13,36085500
2022-02-01,75.61,80.62,75.43,79.94,61033100
2022-02-02,79.18,79.92,78.28,79.74,30299300
2022-02-03,79.21,79.43,78.15,78.81,28529400
2022-02-04,79.98,81.63,79.98,80.52,32176400
