Date,Open,High,Low,Close,Volume
2022-01-20,31.53,31.97,31.33,31.36,12563100
2022-01-21,30.85,31.08,30.55,30.71,17472600
2022-01-24,29.40,29.99,28.89,29.98,20993700
2022-01-25,30.25,31.48,29.85,31.40,17655000
2022-01-26,32.01,32.13,31.24,31.50,16620000
2022-01-27,32.02,32.15,31.14,31.53,14698700
2022-01-28,31.05,31.35,30.65,31.07,14609200
2022-01-31,31.12,31.14,30.75,30.92,10179000
2022-02-01,31.20,31.89,31.07,31.76,15409100
2022-02-02,31.80,32.03,31.62,31.96,11775200
2022-02-03,32.07,32.34,31.68,32.15,13173100
